property_name,prop_emb,epoch,mae
alpha,sum,epoch1188,1.4244443439483643
alpha,sum,epoch1463,1.479657621383667
alpha,sum,epoch1638,1.5006652488708496
cv,sum,epoch1434,0.6442959325790405
cv,sum,epoch1325,0.659407648563385
cv,sum,epoch1694,0.6694118809700013
gap,concatenate_sum,epoch1924,408.34827748674047
gap,concatenate_sum,epoch1096,438.1432798387592
gap,concatenate_sum,epoch874,454.37350792088233
homo,concatenate,epoch1947,253.00105199700135
homo,concatenate,epoch1416,263.58061334535586
homo,concatenate,epoch1442,269.44132730001047
lumo,concatenate_sum,epoch1849,306.9591298939674
lumo,concatenate_sum,epoch1660,334.06209498186007
lumo,concatenate_sum,epoch1546,342.27221804618443
mu,multiply,epoch1822,0.6337520781958242
mu,multiply,epoch1718,0.63915194262804
mu,multiply,epoch1847,0.6423240717703244
