property_name,prop_emb,epoch,atom_stable,mol_stable,rdkit_valid,valid_and_unique,closed_shell_ratio,pb_valid
alpha,sum,epoch1188,0.9981755275951452,0.9694,0.9767,0.9538,0.9612,0.9628
alpha,sum,epoch1463,0.9972855410561916,0.9547,0.9789,0.9637,0.9529,0.966
alpha,sum,epoch1638,0.9963288055268164,0.9409,0.9652,0.9518,0.9368,0.9522
cv,sum,epoch1325,0.9970832985444325,0.952,0.981,0.9665,0.9444,0.9694
cv,sum,epoch1434,0.9968328184575992,0.9473,0.9768,0.9642,0.9395,0.9648
cv,sum,epoch1694,0.9966491330605884,0.9447,0.9785,0.9636,0.9327,0.9631
gap,concatenate_sum,epoch1096,0.9965674929903422,0.9406,0.9849,0.9665,0.9403,0.968
gap,concatenate_sum,epoch1924,0.9981363211535894,0.9689,0.975,0.9573,0.965,0.9653
gap,concatenate_sum,epoch874,0.998331033868886,0.9725,0.9849,0.9618,0.9717,0.9762
homo,concatenate,epoch1416,0.9983630390872972,0.9729,0.9848,0.9588,0.9715,0.9751
homo,concatenate,epoch1442,0.9985017645883736,0.9752,0.9884,0.9634,0.9745,0.9795
homo,concatenate,epoch1947,0.9984074312476416,0.9732,0.9806,0.9608,0.9729,0.969
lumo,concatenate_sum,epoch1546,0.9979602101262992,0.9666,0.989,0.9718,0.9603,0.9771
lumo,concatenate_sum,epoch1660,0.9979937409187436,0.9663,0.9834,0.9669,0.962,0.9719
lumo,concatenate_sum,epoch1849,0.9975410752207444,0.9586,0.9799,0.9609,0.9536,0.9716
mu,multiply,epoch1718,0.9981447330415268,0.9696,0.982,0.9609,0.9655,0.9693
mu,multiply,epoch1822,0.996933810296176,0.9502,0.9742,0.9528,0.9506,0.96
mu,multiply,epoch1847,0.998466905148088,0.9739,0.9869,0.9675,0.9724,0.9753
